frame,timestamp_s,shot,track_id,vehicle_class,risk,ground_x_px,ground_y_px
98,4.0833,0,33,caex,caution,716.0,491.0
98,4.0833,0,34,caex,caution,1076.0,626.0
99,4.125,0,33,caex,caution,724.5,492.5
99,4.125,0,34,caex,caution,1072.2,624.0
100,4.1667,0,33,caex,caution,775.0,499.0
100,4.1667,0,34,caex,caution,1019.0,618.0
101,4.2083,0,33,caex,caution,775.0,494.0
101,4.2083,0,34,caex,caution,988.5,620.0
102,4.25,0,33,caex,critical,774.0,498.5
102,4.25,0,34,caex,critical,957.0,617.0
103,4.2917,0,33,caex,critical,757.1,624.0
103,4.2917,0,34,caex,critical,927.5,614.0
104,4.3333,0,33,caex,critical,787.0,671.0
104,4.3333,0,34,caex,critical,895.0,615.0
105,4.375,0,33,caex,critical,776.0,672.0
105,4.375,0,34,caex,critical,861.5,614.5
106,4.4167,0,33,caex,critical,733.1,671.0
106,4.4167,0,34,caex,critical,840.0,615.5
107,4.4583,0,33,caex,critical,680.0,603.0
107,4.4583,0,34,caex,critical,795.0,614.5
108,4.5,0,33,caex,critical,605.7,581.2
108,4.5,0,34,caex,critical,762.0,614.0
109,4.5417,0,33,caex,critical,555.5,663.0
109,4.5417,0,34,caex,critical,725.0,615.5
110,4.5833,0,33,caex,critical,468.1,698.4
110,4.5833,0,34,caex,critical,688.9,616.5
111,4.625,0,33,caex,critical,490.0,621.5
111,4.625,0,34,caex,critical,723.0,621.5
112,4.6667,0,33,caex,critical,468.2,586.3
112,4.6667,0,34,caex,critical,632.5,617.0
113,4.7083,0,33,caex,critical,446.4,551.1
113,4.7083,0,34,caex,critical,556.5,622.0
114,4.75,0,33,caex,critical,424.6,515.9
114,4.75,0,34,caex,critical,551.9,620.5
115,4.7917,0,33,caex,critical,402.7,480.7
115,4.7917,0,34,caex,critical,508.0,619.0
116,4.8333,0,33,caex,critical,380.9,445.5
116,4.8333,0,34,caex,critical,376.2,624.0
117,4.875,0,33,caex,critical,359.1,410.3
117,4.875,0,34,caex,critical,346.8,620.5
118,4.9167,0,33,caex,critical,337.3,375.0
118,4.9167,0,34,caex,critical,443.0,626.0
118,4.9167,0,35,caex,safe,650.0,489.5
119,4.9583,0,33,caex,critical,315.5,339.8
119,4.9583,0,34,caex,critical,307.5,620.0
119,4.9583,0,35,caex,safe,649.0,484.5
120,5.0,0,34,caex,critical,339.2,622.0
120,5.0,0,35,caex,critical,623.0,484.5
121,5.0417,0,34,caex,critical,342.5,621.5
121,5.0417,0,35,caex,critical,634.0,485.8
122,5.0833,0,34,caex,critical,296.0,618.0
122,5.0833,0,35,caex,critical,635.0,486.0
123,5.125,0,34,caex,critical,238.4,618.5
123,5.125,0,35,caex,critical,623.5,496.5
124,5.1667,0,34,caex,critical,192.5,616.0
124,5.1667,0,35,caex,critical,622.5,495.0
125,5.2083,0,34,caex,critical,196.6,620.0
125,5.2083,0,35,caex,critical,618.1,495.0
126,5.25,0,34,caex,critical,198.5,622.5
126,5.25,0,35,caex,critical,616.0,495.5
127,5.2917,0,34,caex,critical,180.8,617.0
127,5.2917,0,35,caex,critical,617.5,491.0
128,5.3333,0,34,caex,critical,187.0,619.0
128,5.3333,0,35,caex,critical,612.0,491.5
129,5.375,0,34,caex,critical,154.2,618.0
129,5.375,0,35,caex,critical,608.0,491.5
130,5.4167,0,34,caex,caution,125.8,614.5
130,5.4167,0,35,caex,caution,603.9,491.5
131,5.4583,0,34,caex,caution,156.8,615.5
131,5.4583,0,35,caex,caution,601.0,499.0
132,5.5,0,34,caex,caution,149.4,620.5
132,5.5,0,35,caex,caution,598.1,499.5
133,5.5417,0,34,caex,caution,170.8,620.0
133,5.5417,0,35,caex,caution,593.5,499.5
134,5.5833,0,34,caex,caution,154.2,616.0
134,5.5833,0,35,caex,caution,588.5,498.5
135,5.625,0,34,caex,caution,59.5,604.0
135,5.625,0,35,caex,caution,591.0,495.0
136,5.6667,0,34,caex,caution,56.2,585.0
136,5.6667,0,35,caex,caution,588.5,492.5
137,5.7083,0,34,caex,caution,3.8,573.6
137,5.7083,0,35,caex,caution,586.5,492.5
138,5.75,0,34,caex,caution,-48.6,562.1
138,5.75,0,35,caex,caution,583.5,493.5
139,5.7917,0,34,caex,caution,-101.0,550.7
139,5.7917,0,35,caex,caution,577.1,492.0
140,5.8333,0,34,caex,caution,-153.4,539.2
140,5.8333,0,35,caex,caution,568.1,502.0
141,5.875,0,34,caex,caution,-205.7,527.8
141,5.875,0,35,caex,caution,564.1,502.5
142,5.9167,0,34,caex,caution,-258.1,516.3
142,5.9167,0,35,caex,caution,559.5,503.0
143,5.9583,0,34,caex,caution,-310.5,504.9
143,5.9583,0,35,caex,caution,557.0,503.0
144,6.0,0,34,caex,safe,-362.9,493.5
144,6.0,0,35,caex,safe,553.1,502.5
145,6.0417,0,35,caex,safe,557.0,500.5
