frame,timestamp_s,shot,lighting,detections,min_distance_m,coverage,berm_confidence,crest_y_median,height_m_median,height_ratio_median
0,0.0,0,night,3,4.15,0.8961,0.8961,531.3629,0.2522,1.4205
1,0.0417,0,night,3,3.41,0.8836,0.8836,537.1555,0.2663,1.4809
2,0.0833,0,night,3,8.6,0.9313,0.9313,512.0577,0.3071,2.711
3,0.125,0,night,3,8.65,0.9227,0.9227,512.0662,0.2989,2.6493
4,0.1667,0,night,3,8.17,0.9516,0.9516,512.8768,0.2916,2.599
5,0.2083,0,night,3,8.12,0.9437,0.9437,512.8857,0.2947,2.5795
6,0.25,0,night,3,7.9,0.9047,0.9047,512.5064,0.3308,2.8905
7,0.2917,0,night,3,7.91,0.868,0.868,512.0894,0.3351,2.9387
8,0.3333,0,night,1,,0.8305,0.8305,512.2925,0.3772,3.3424
9,0.375,0,night,1,,0.8359,0.8359,511.3931,0.3682,3.2461
10,0.4167,0,night,1,,0.8391,0.8391,511.4226,0.3705,3.2673
11,0.4583,0,night,1,,0.8375,0.8375,510.8991,0.3614,3.2352
12,0.5,0,night,1,,0.8477,0.8477,509.9536,0.3812,3.332
13,0.5417,0,night,1,,0.8352,0.8352,510.8126,0.3507,3.0491
14,0.5833,0,night,1,,0.8633,0.8633,512.073,0.3513,3.0803
15,0.625,0,night,1,,0.8352,0.8352,511.4731,0.354,3.1342
16,0.6667,0,night,1,,0.8453,0.8453,511.8647,0.3489,3.0502
17,0.7083,0,night,1,,0.8219,0.8219,510.8303,0.3697,3.2167
18,0.75,0,night,1,,0.8398,0.8398,510.9433,0.374,3.2488
19,0.7917,0,night,1,,0.8289,0.8289,511.3275,0.3581,3.1982
20,0.8333,0,night,1,,0.8664,0.8664,511.5712,0.363,3.1871
21,0.875,0,night,1,,0.843,0.843,511.514,0.3787,3.3143
22,0.9167,0,night,1,,0.8414,0.8414,511.5634,0.3601,3.1828
23,0.9583,0,night,1,,0.8047,0.8047,513.1575,0.3557,3.1096
24,1.0,0,night,1,,0.8281,0.8281,512.4483,0.3682,3.1604
25,1.0417,0,night,1,,0.8375,0.8375,513.6823,0.3611,3.1538
26,1.0833,0,night,1,,0.8,0.8,513.3087,0.354,3.1336
27,1.125,0,night,1,,0.7883,0.7883,513.1812,0.3609,3.0855
28,1.1667,0,night,1,,0.8336,0.8336,512.7922,0.3682,3.1623
29,1.2083,0,night,1,,0.8156,0.8156,513.0206,0.3614,3.1593
30,1.25,0,night,1,,0.8258,0.8258,513.0355,0.3518,3.1668
31,1.2917,0,night,1,,0.8211,0.8211,512.1795,0.3638,3.1286
32,1.3333,0,night,1,,0.8422,0.8422,512.1942,0.3654,3.1228
33,1.375,0,night,1,,0.8148,0.8148,512.7131,0.3513,3.0485
34,1.4167,0,night,1,,0.8094,0.8094,512.5068,0.3765,3.169
35,1.4583,0,night,1,,0.8195,0.8195,513.1061,0.3617,3.0942
36,1.5,0,night,1,,0.8148,0.8148,513.0883,0.345,3.0149
37,1.5417,0,night,1,,0.7781,0.7781,512.6567,0.3678,3.072
38,1.5833,0,night,1,,0.7734,0.7734,513.1384,0.3415,2.9234
39,1.625,0,night,1,,0.7867,0.7867,514.1909,0.3241,2.8324
40,1.6667,0,night,1,,0.8195,0.8195,514.4959,0.3091,2.8003
41,1.7083,0,night,1,,0.7078,0.7078,510.6154,0.3488,2.9639
42,1.75,0,night,1,,0.7484,0.7484,513.3454,0.3324,2.9025
43,1.7917,0,night,1,,0.7656,0.7656,513.3992,0.3141,2.7874
44,1.8333,0,night,1,,0.7242,0.7242,509.4651,0.3612,3.0732
45,1.875,0,night,1,,0.7492,0.7492,510.1727,0.3357,2.8681
46,1.9167,0,night,1,,0.8219,0.8219,513.0489,0.2827,2.7135
47,1.9583,0,night,1,,0.7438,0.7438,508.9393,0.3344,2.8605
48,2.0,0,night,1,,0.7461,0.7461,509.6834,0.311,2.8344
49,2.0417,0,night,1,,0.7109,0.7109,509.2853,0.3029,2.7415
50,2.0833,0,night,1,,0.7289,0.7289,509.0994,0.3387,2.8558
51,2.125,0,night,1,,0.732,0.732,510.4419,0.3267,2.8973
52,2.1667,0,night,1,,0.6883,0.6883,509.131,0.3117,2.8194
53,2.2083,0,night,1,,0.7352,0.7352,509.5033,0.2966,2.7727
54,2.25,0,night,1,,0.8625,0.8625,511.8952,0.2078,2.5261
55,2.2917,0,night,1,,0.9023,0.9023,509.5294,0.2447,2.8188
56,2.3333,0,night,1,,0.9094,0.9094,508.0074,0.2519,2.4876
57,2.375,0,night,1,,0.9062,0.9062,505.9021,0.2693,2.3837
58,2.4167,0,dusk,1,,0.9203,0.9203,497.046,0.3364,2.3508
59,2.4583,0,dusk,1,,0.9398,0.9398,500.8933,0.3089,2.2341
60,2.5,0,dusk,1,,0.943,0.943,493.564,0.3762,2.4039
61,2.5417,0,dusk,1,,0.9234,0.9234,493.8504,0.3529,2.1992
62,2.5833,0,dusk,1,,0.8859,0.8859,494.016,0.3369,2.2579
63,2.625,0,dusk,1,,0.8891,0.8891,494.5925,0.323,2.0219
64,2.6667,0,dusk,1,,0.9117,0.9117,493.9739,0.3249,1.8123
65,2.7083,0,day,1,,0.8977,0.8977,492.8729,0.3411,1.7613
66,2.75,0,day,1,,0.918,0.918,490.6536,0.3303,1.7244
67,2.7917,0,day,1,,0.9242,0.9242,490.3799,0.3298,1.7013
68,2.8333,0,day,1,,0.9031,0.9031,487.5817,0.3309,1.7158
69,2.875,0,day,1,,0.9102,0.9102,486.1042,0.3316,1.6985
70,2.9167,0,day,1,,0.9148,0.9148,486.5002,0.3331,1.6927
71,2.9583,0,day,1,,0.9109,0.9109,486.6729,0.3248,1.6503
72,3.0,0,day,1,,0.9047,0.9047,486.9654,0.3161,1.639
73,3.0417,0,day,1,,0.9172,0.9172,487.4722,0.3126,1.6375
74,3.0833,0,day,1,,0.9047,0.9047,487.8497,0.3086,1.6231
75,3.125,0,day,1,,0.9172,0.9172,487.455,0.3071,1.6151
76,3.1667,0,day,1,,0.9086,0.9086,487.0077,0.3196,1.6421
77,3.2083,0,day,1,,0.8977,0.8977,486.8458,0.3252,1.6592
78,3.25,0,day,1,,0.8867,0.8867,487.2158,0.3266,1.6391
79,3.2917,0,day,1,,0.8938,0.8938,487.4555,0.3296,1.6406
80,3.3333,0,day,1,,0.8805,0.8805,487.2898,0.3233,1.6426
81,3.375,0,day,1,,0.8516,0.8516,488.7501,0.3108,1.5876
82,3.4167,0,day,1,,0.8633,0.8633,488.1072,0.3183,1.6107
83,3.4583,0,day,1,,0.9172,0.9172,489.2211,0.2994,1.5355
84,3.5,0,day,1,,0.8805,0.8805,488.7861,0.3094,1.5674
85,3.5417,0,day,2,29.77,0.8883,0.8883,506.3783,0.484,1.3493
86,3.5833,0,day,2,26.6,0.9359,0.9359,512.563,0.4512,1.3881
87,3.625,0,day,2,24.16,0.9297,0.9297,513.0409,0.4092,1.3791
88,3.6667,0,day,2,21.83,0.9453,0.9453,516.5873,0.3598,1.3337
89,3.7083,0,day,2,19.91,0.9148,0.9148,518.9556,0.3264,1.3108
90,3.75,0,day,2,18.28,0.8469,0.8469,518.5336,0.3003,1.2931
91,3.7917,0,day,2,17.38,0.8828,0.8828,519.5364,0.2833,1.2847
92,3.8333,0,day,2,15.99,0.8359,0.8359,521.8386,0.2707,1.2846
93,3.875,0,day,2,15.13,0.8883,0.8883,523.7994,0.243,1.2271
94,3.9167,0,day,2,14.14,0.9,0.9,524.3247,0.2259,1.2038
95,3.9583,0,day,2,12.42,0.9406,0.9406,523.7449,0.2138,1.2212
96,4.0,0,day,2,12.35,0.8688,0.8688,521.1267,0.2139,1.2302
97,4.0417,0,day,2,12.42,0.8938,0.8938,521.1677,0.2096,1.2085
98,4.0833,0,day,2,12.78,0.8594,0.8594,523.7487,0.2169,1.2363
99,4.125,0,day,2,11.91,0.8695,0.8695,525.4833,0.216,1.2774
