frame,timestamp_s,shot,track_id,vehicle_class,risk,ground_x_px,ground_y_px
2,0.0667,0,0,caex,safe,1047.0,555.8
3,0.1,0,0,caex,safe,1030.5,554.2
4,0.1333,0,0,caex,safe,1030.5,554.2
5,0.1667,0,0,caex,safe,1021.5,554.2
6,0.2,0,0,caex,safe,1012.5,554.2
7,0.2333,0,0,caex,safe,997.5,554.2
7,0.2333,0,2,caex,safe,309.8,1080.0
8,0.2667,0,0,caex,safe,997.5,553.9
8,0.2667,0,2,caex,safe,310.1,1080.0
9,0.3,0,0,caex,safe,985.5,555.0
9,0.3,0,2,caex,safe,279.8,1080.0
10,0.3333,0,0,caex,safe,972.0,554.2
10,0.3333,0,2,caex,safe,356.4,1063.5
11,0.3667,0,0,caex,safe,960.0,555.0
11,0.3667,0,2,caex,safe,485.2,979.5
12,0.4,0,0,caex,safe,946.5,554.2
12,0.4,0,2,caex,safe,593.6,974.2
13,0.4333,0,0,caex,safe,930.8,554.2
13,0.4333,0,2,caex,safe,714.4,941.2
14,0.4667,0,0,caex,safe,930.0,554.2
14,0.4667,0,2,caex,safe,714.0,941.2
15,0.5,0,0,caex,safe,918.0,555.4
15,0.5,0,2,caex,safe,816.0,906.8
16,0.5333,0,0,caex,safe,900.0,554.6
16,0.5333,0,2,caex,safe,897.0,873.8
17,0.5667,0,0,caex,safe,888.0,555.0
17,0.5667,0,2,caex,safe,963.0,855.0
18,0.6,0,0,caex,safe,870.8,555.0
18,0.6,0,2,caex,safe,1026.0,831.8
19,0.6333,0,0,caex,safe,870.8,555.4
19,0.6333,0,2,caex,safe,1026.0,831.8
19,0.6333,0,3,caex,safe,129.4,1080.0
20,0.6667,0,0,caex,safe,855.8,554.2
20,0.6667,0,2,caex,safe,1079.2,815.2
20,0.6667,0,3,caex,safe,225.0,1079.2
21,0.7,0,0,caex,safe,838.5,555.8
21,0.7,0,2,caex,safe,1120.5,804.8
21,0.7,0,3,caex,safe,283.1,1028.2
22,0.7333,0,0,caex,safe,820.5,555.8
22,0.7333,0,2,caex,safe,1158.0,783.0
22,0.7333,0,3,caex,safe,328.9,1036.5
23,0.7667,0,0,caex,safe,820.5,555.4
23,0.7667,0,2,caex,safe,1158.0,783.0
23,0.7667,0,3,caex,safe,329.1,1036.5
24,0.8,0,0,caex,safe,801.8,555.0
24,0.8,0,2,caex,safe,1194.0,771.0
24,0.8,0,3,caex,safe,520.6,1006.5
25,0.8333,0,0,caex,safe,788.8,558.0
25,0.8333,0,2,caex,safe,1221.0,753.0
25,0.8333,0,3,caex,safe,632.2,972.0
26,0.8667,0,0,caex,safe,769.3,555.4
26,0.8667,0,2,caex,safe,1267.5,746.2
26,0.8667,0,3,caex,safe,738.8,935.2
27,0.9,0,0,caex,safe,752.6,557.2
27,0.9,0,2,caex,safe,1272.0,720.8
27,0.9,0,3,caex,safe,834.0,900.0
28,0.9333,0,0,caex,safe,734.2,558.0
28,0.9333,0,2,caex,safe,1281.0,713.2
28,0.9333,0,3,caex,safe,919.7,865.5
29,0.9667,0,0,caex,safe,734.2,558.0
29,0.9667,0,2,caex,safe,1281.0,713.2
29,0.9667,0,3,caex,safe,919.5,865.5
30,1.0,0,0,caex,safe,719.6,557.6
30,1.0,0,2,caex,safe,1293.8,705.8
30,1.0,0,3,caex,safe,993.0,852.0
31,1.0333,0,0,caex,safe,703.5,558.8
