frame,timestamp_s,shot,lighting,detections,min_distance_m,coverage,berm_confidence,crest_y_median,height_m_median,height_ratio_median
0,0.0,0,day,0,,0.9823,0.4507,536.3813,,
1,0.0333,0,day,0,,0.9849,0.4136,548.6174,,
2,0.0667,0,day,1,,0.9724,0.7876,559.8084,0.9748,4.0967
3,0.1,0,day,1,,0.9698,0.7352,563.4402,0.8352,3.8645
4,0.1333,0,day,1,,0.9698,0.7525,564.2745,0.858,3.9701
5,0.1667,0,day,1,,0.9859,0.747,565.4607,0.8397,4.0241
6,0.2,0,day,1,,0.9833,0.7784,566.8493,0.8559,3.9391
7,0.2333,0,day,2,105.45,0.9672,0.8106,573.8353,0.6765,4.2891
8,0.2667,0,day,2,105.55,0.9677,0.8316,576.4922,0.7094,4.5054
9,0.3,0,day,2,111.45,0.9781,0.5604,579.8203,0.8037,4.7933
10,0.3333,0,day,2,98.27,0.9703,0.7553,581.7568,0.9147,6.1053
11,0.3667,0,day,2,93.84,0.9729,0.4771,582.677,0.7885,5.1915
12,0.4,0,day,2,98.02,0.9479,0.5716,590.2382,0.7647,4.8095
13,0.4333,0,day,2,98.84,0.9583,0.0958,590.8001,0.8261,4.9717
14,0.4667,0,day,2,98.79,0.9583,0.1511,591.194,0.7959,4.7926
15,0.5,0,day,2,93.13,0.95,0.243,591.6083,0.7342,4.4663
16,0.5333,0,day,2,88.17,0.9484,0.3894,591.6925,0.6661,4.1881
17,0.5667,0,day,2,89.06,0.9786,0.0979,591.5243,0.6515,3.9589
18,0.6,0,day,2,88.17,0.975,0.0975,591.4997,0.6367,3.8008
19,0.6333,0,day,3,37.77,0.9458,0.0946,591.8042,0.7786,3.713
20,0.6667,0,day,3,29.54,0.9464,0.0946,591.8705,0.57,3.6388
21,0.7,0,day,3,26.52,0.9573,0.0957,591.5132,0.5156,3.6696
22,0.7333,0,day,3,30.95,0.9568,0.2951,591.2111,0.5557,3.7035
23,0.7667,0,day,3,30.94,0.9531,0.4738,591.1823,0.5438,3.624
24,0.8,0,day,3,30.62,0.9318,0.553,591.3047,0.5936,3.8046
25,0.8333,0,day,3,30.75,0.9292,0.5723,588.0525,0.6157,3.9346
26,0.8667,0,day,3,26.54,0.9313,0.4548,585.8499,0.5706,4.0315
27,0.9,0,day,3,31.66,0.9474,0.5662,589.616,0.6545,3.9703
28,0.9333,0,day,3,33.46,0.9505,0.655,592.6609,0.7067,3.7272
29,0.9667,0,day,3,33.46,0.9516,0.6849,593.2165,0.7029,3.7075
30,1.0,0,day,3,33.67,0.938,0.6385,592.856,0.7467,3.8272
31,1.0333,0,day,3,31.54,0.9698,0.097,591.6753,0.76,4.0224
32,1.0667,0,day,3,30.25,0.9651,0.0965,591.2986,0.7671,4.0516
