frame,timestamp_s,shot,track_id,vehicle_class,risk,ground_x_px,ground_y_px
0,0.0,0,38,caex,safe,598.4,510.6
1,0.0417,0,38,caex,safe,580.9,513.1
2,0.0833,0,38,caex,safe,563.3,515.7
2,0.0833,0,39,caex,safe,93.7,543.5
3,0.125,0,38,caex,safe,545.8,518.3
3,0.125,0,39,caex,safe,96.1,545.0
3,0.125,0,40,caex,safe,445.5,430.5
4,0.1667,0,38,caex,safe,528.2,520.9
4,0.1667,0,39,caex,safe,99.1,545.0
4,0.1667,0,40,caex,safe,440.0,430.5
5,0.2083,0,38,caex,caution,510.7,523.4
5,0.2083,0,39,caex,safe,102.9,545.5
5,0.2083,0,40,caex,caution,444.5,430.8
6,0.25,0,38,caex,caution,493.1,526.0
6,0.25,0,39,caex,safe,107.9,547.0
6,0.25,0,40,caex,caution,444.8,430.7
7,0.2917,0,38,caex,caution,475.5,528.6
7,0.2917,0,39,caex,caution,109.3,547.5
7,0.2917,0,40,caex,caution,431.5,430.0
8,0.3333,0,39,caex,caution,112.3,545.5
8,0.3333,0,40,caex,caution,418.3,429.5
9,0.375,0,39,caex,caution,115.2,546.0
9,0.375,0,40,caex,caution,420.2,432.0
10,0.4167,0,39,caex,caution,123.4,546.5
10,0.4167,0,40,caex,caution,415.6,433.0
11,0.4583,0,39,caex,caution,129.0,547.5
11,0.4583,0,40,caex,caution,410.9,434.0
12,0.5,0,39,caex,caution,127.2,547.0
12,0.5,0,40,caex,caution,406.2,435.0
13,0.5417,0,39,caex,caution,128.2,547.5
13,0.5417,0,40,caex,caution,401.6,435.9
14,0.5833,0,39,caex,caution,135.8,548.5
14,0.5833,0,40,caex,caution,420.5,432.0
15,0.625,0,39,caex,caution,143.1,549.5
15,0.625,0,40,caex,caution,437.1,428.6
16,0.6667,0,39,caex,caution,145.4,549.5
16,0.6667,0,40,caex,caution,453.7,425.1
17,0.7083,0,39,caex,safe,146.9,551.5
17,0.7083,0,40,caex,safe,470.3,421.7
18,0.75,0,39,caex,safe,147.2,549.0
18,0.75,0,40,caex,safe,486.9,418.2
19,0.7917,0,39,caex,safe,154.5,551.5
19,0.7917,0,40,caex,safe,503.5,414.8
20,0.8333,0,39,caex,safe,159.2,551.0
20,0.8333,0,40,caex,safe,520.1,411.3
21,0.875,0,39,caex,safe,160.5,553.0
21,0.875,0,40,caex,safe,536.7,407.9
22,0.9167,0,39,caex,safe,167.9,553.5
22,0.9167,0,40,caex,safe,553.3,404.4
23,0.9583,0,39,caex,safe,172.1,556.0
24,1.0,0,39,caex,safe,175.2,558.0
25,1.0417,0,39,caex,safe,177.6,558.0
26,1.0833,0,39,caex,safe,184.5,558.0
27,1.125,0,39,caex,safe,191.0,559.0
28,1.1667,0,39,caex,safe,192.0,562.0
29,1.2083,0,39,caex,safe,194.0,560.0
30,1.25,0,39,caex,safe,202.8,562.5
31,1.2917,0,39,caex,safe,207.2,566.0
32,1.3333,0,39,caex,safe,211.2,563.5
33,1.375,0,39,caex,safe,213.2,565.0
34,1.4167,0,39,caex,safe,217.8,569.5
35,1.4583,0,39,caex,safe,221.2,570.0
36,1.5,0,39,caex,safe,233.5,569.5
37,1.5417,0,39,caex,safe,235.6,569.5
38,1.5833,0,39,caex,safe,261.0,568.0
39,1.625,0,39,caex,safe,240.1,580.0
40,1.6667,0,39,caex,safe,265.2,572.5
41,1.7083,0,39,caex,safe,262.6,582.5
42,1.75,0,39,caex,safe,271.9,581.0
43,1.7917,0,39,caex,safe,299.5,572.5
44,1.8333,0,39,caex,safe,294.4,581.5
45,1.875,0,39,caex,safe,297.4,585.5
46,1.9167,0,39,caex,safe,319.1,575.5
47,1.9583,0,39,caex,safe,339.4,574.0
48,2.0,0,39,caex,safe,351.9,573.0
49,2.0417,0,39,caex,safe,355.5,574.0
50,2.0833,0,39,caex,safe,360.0,578.0
51,2.125,0,39,caex,safe,377.4,576.0
52,2.1667,0,39,caex,safe,374.0,579.5
52,2.1667,0,41,caex,safe,944.0,491.0
53,2.2083,0,39,caex,safe,409.2,566.0
53,2.2083,0,41,caex,safe,937.0,492.0
54,2.25,0,39,caex,caution,420.0,547.0
54,2.25,0,41,caex,caution,940.0,491.5
55,2.2917,0,39,caex,caution,435.1,530.0
55,2.2917,0,41,caex,caution,934.0,492.5
56,2.3333,0,39,caex,caution,455.5,541.0
56,2.3333,0,41,caex,caution,938.5,492.0
57,2.375,0,39,caex,caution,465.2,541.5
57,2.375,0,41,caex,caution,937.0,491.5
58,2.4167,0,39,caex,caution,473.0,541.0
58,2.4167,0,41,caex,caution,934.0,492.0
59,2.4583,0,39,caex,caution,497.2,539.0
59,2.4583,0,41,caex,caution,931.0,492.0
60,2.5,0,39,caex,caution,506.5,544.0
60,2.5,0,41,caex,caution,924.0,492.5
61,2.5417,0,39,caex,caution,533.3,556.6
61,2.5417,0,41,caex,caution,923.0,493.0
62,2.5833,0,39,caex,caution,560.0,569.2
62,2.5833,0,41,caex,caution,921.5,493.0
63,2.625,0,39,caex,caution,586.8,581.8
63,2.625,0,41,caex,caution,920.0,493.0
64,2.6667,0,39,caex,caution,613.5,594.4
64,2.6667,0,41,caex,caution,916.0,493.0
65,2.7083,0,39,caex,caution,640.3,607.0
65,2.7083,0,41,caex,caution,910.5,492.5
66,2.75,0,39,caex,caution,667.0,619.6
66,2.75,0,41,caex,caution,909.0,492.5
67,2.7917,0,39,caex,caution,693.8,632.2
67,2.7917,0,41,caex,caution,907.0,492.5
68,2.8333,0,39,caex,caution,720.6,644.8
68,2.8333,0,41,caex,caution,904.5,486.5
69,2.875,0,41,caex,caution,907.0,491.5
70,2.9167,0,41,caex,caution,905.0,491.5
71,2.9583,0,41,caex,caution,901.0,491.5
72,3.0,0,41,caex,caution,896.0,485.0
73,3.0417,0,41,caex,caution,891.0,492.5
74,3.0833,0,41,caex,caution,888.0,493.0
75,3.125,0,41,caex,caution,885.0,493.0
76,3.1667,0,41,caex,caution,880.0,492.5
77,3.2083,0,41,caex,caution,877.0,492.5
78,3.25,0,41,caex,safe,873.0,492.0
79,3.2917,0,41,caex,safe,870.5,492.5
80,3.3333,0,41,caex,safe,872.5,491.5
81,3.375,0,41,caex,safe,867.0,486.0
82,3.4167,0,41,caex,safe,864.0,484.5
83,3.4583,0,41,caex,safe,859.0,492.0
84,3.5,0,41,caex,safe,857.0,492.5
85,3.5417,0,41,caex,safe,853.5,493.0
86,3.5833,0,41,caex,safe,849.5,492.0
87,3.625,0,41,caex,safe,845.5,492.0
88,3.6667,0,41,caex,safe,841.5,492.0
89,3.7083,0,41,caex,safe,840.0,492.0
90,3.75,0,41,caex,safe,839.0,492.0
91,3.7917,0,41,caex,safe,840.5,491.0
92,3.8333,0,41,caex,safe,833.0,491.5
93,3.875,0,41,caex,safe,830.0,492.0
93,3.875,0,43,caex,safe,206.4,629.0
94,3.9167,0,41,caex,safe,827.5,491.0
94,3.9167,0,43,caex,safe,221.8,625.5
95,3.9583,0,41,caex,safe,822.0,492.0
95,3.9583,0,43,caex,safe,218.9,615.0
96,4.0,0,41,caex,caution,817.0,491.5
96,4.0,0,43,caex,caution,221.6,610.5
97,4.0417,0,41,caex,caution,812.0,491.0
