frame,timestamp_s,shot,lighting,detections,min_distance_m,coverage,berm_confidence,crest_y_median,height_m_median,height_ratio_median
0,0.0,0,night,1,,0.9375,0.2916,507.1616,0.4847,2.5381
1,0.0417,0,night,1,,0.9375,0.4695,512.8818,0.3637,1.8951
2,0.0833,0,night,2,20.6,0.8406,0.1686,519.4262,0.5815,2.4371
3,0.125,0,night,3,14.25,0.8352,0.3643,520.4363,0.6776,2.439
4,0.1667,0,night,3,13.8,0.8305,0.5031,521.3649,0.7045,2.6134
5,0.2083,0,night,3,13.0,0.8383,0.5952,525.8576,0.5992,2.3063
6,0.25,0,night,3,12.37,0.8148,0.6308,528.6312,0.5488,2.2087
7,0.2917,0,night,3,12.55,0.8258,0.6431,530.2277,0.5676,2.3128
8,0.3333,0,night,2,25.25,0.8609,0.6451,531.2134,0.9308,2.6184
9,0.375,0,night,2,23.21,0.8641,0.7004,530.1953,0.9528,2.8789
10,0.4167,0,night,2,22.09,0.8609,0.7316,529.1208,0.813,2.5105
11,0.4583,0,night,2,21.34,0.8555,0.7463,528.9525,0.9287,2.9034
12,0.5,0,night,2,21.16,0.8539,0.7679,529.3267,0.842,2.6169
13,0.5417,0,night,2,20.8,0.8648,0.6777,528.2173,0.8367,2.6029
14,0.5833,0,night,2,23.1,0.8211,0.58,524.3851,0.8412,2.4865
15,0.625,0,night,2,23.61,0.8148,0.3,524.0519,0.7848,2.3734
16,0.6667,0,night,2,24.48,0.807,0.4208,524.3485,0.7478,2.2893
17,0.7083,0,night,2,25.62,0.7945,0.5107,524.8494,0.7084,2.1855
18,0.75,0,night,2,26.54,0.8352,0.5676,526.4125,0.6734,2.094
19,0.7917,0,night,2,27.22,0.7992,0.5996,525.8743,0.6605,2.0914
20,0.8333,0,night,2,27.91,0.7992,0.635,526.3709,0.6358,2.0428
21,0.875,0,night,2,29.07,0.768,0.6329,527.1328,0.6279,2.0322
22,0.9167,0,night,2,29.62,0.7961,0.6729,527.2875,0.6052,1.9943
23,0.9583,0,night,1,,0.7555,0.6195,526.9446,0.3116,1.9686
24,1.0,0,night,1,,0.7289,0.6068,526.7562,0.3109,1.9925
25,1.0417,0,night,1,,0.7297,0.6079,527.527,0.3114,2.0232
26,1.0833,0,night,1,,0.7133,0.5823,527.9533,0.3064,2.0674
27,1.125,0,night,1,,0.6922,0.568,527.7656,0.3009,2.098
28,1.1667,0,night,1,,0.6773,0.5512,527.6733,0.3068,2.1392
29,1.2083,0,night,1,,0.7359,0.1124,529.2343,0.3105,2.1952
30,1.25,0,night,1,,0.7219,0.2807,531.1394,0.3291,2.4207
31,1.2917,0,night,1,,0.7,0.3248,532.2202,0.3346,2.5007
32,1.3333,0,night,1,,0.7234,0.4556,537.0048,0.3637,2.7823
33,1.375,0,night,1,,0.7102,0.5183,541.5594,0.421,3.2429
34,1.4167,0,night,1,,0.6813,0.5142,546.3751,0.4027,3.1426
35,1.4583,0,night,1,,0.6797,0.5558,553.2627,0.3795,3.0066
36,1.5,0,night,1,,0.6867,0.378,558.9536,0.3451,2.6894
37,1.5417,0,night,1,,0.6875,0.3578,560.973,0.3276,2.5868
38,1.5833,0,night,1,,0.7141,0.4449,563.0599,0.2828,2.1389
39,1.625,0,night,1,,0.6188,0.5259,544.8634,0.2533,2.1154
40,1.6667,0,night,1,,0.682,0.5179,546.7463,0.2542,1.9958
41,1.7083,0,night,1,,0.6305,0.2456,544.0637,0.2322,1.9072
42,1.75,0,night,1,,0.618,0.2953,543.6385,0.2085,1.7219
43,1.7917,0,night,1,,0.6977,0.3235,542.9413,0.2343,1.8126
44,1.8333,0,night,1,,0.6047,0.1828,543.1021,0.239,1.9091
