frame,timestamp_s,shot,track_id,vehicle_class,risk,ground_x_px,ground_y_px
0,0.0,0,46,caex,safe,507.5,458.1
0,0.0,0,47,caex,caution,1031.5,456.0
1,0.0417,0,46,caex,safe,497.1,458.3
1,0.0417,0,47,caex,caution,1012.0,457.3
2,0.0833,0,46,caex,safe,486.6,458.4
2,0.0833,0,47,caex,caution,992.5,458.6
2,0.0833,0,48,caex,safe,63.6,552.0
3,0.125,0,46,caex,safe,476.2,458.6
3,0.125,0,47,caex,caution,973.0,459.8
3,0.125,0,48,caex,safe,66.8,554.0
4,0.1667,0,46,caex,caution,465.7,458.7
4,0.1667,0,47,caex,safe,953.5,461.1
4,0.1667,0,48,caex,caution,74.4,553.0
5,0.2083,0,46,caex,caution,455.3,458.8
5,0.2083,0,47,caex,safe,934.0,462.4
5,0.2083,0,48,caex,caution,78.2,554.5
6,0.25,0,46,caex,caution,444.8,459.0
6,0.25,0,47,caex,safe,914.5,463.6
6,0.25,0,48,caex,caution,84.4,556.0
7,0.2917,0,46,caex,caution,434.3,459.1
7,0.2917,0,47,caex,safe,895.0,464.9
7,0.2917,0,48,caex,caution,87.6,555.0
8,0.3333,0,48,caex,caution,96.4,557.0
9,0.375,0,48,caex,caution,101.1,560.0
10,0.4167,0,48,caex,caution,106.6,556.5
11,0.4583,0,48,caex,caution,110.8,556.5
12,0.5,0,48,caex,caution,114.1,558.0
13,0.5417,0,48,caex,caution,123.1,555.5
14,0.5833,0,48,caex,caution,126.6,553.0
15,0.625,0,48,caex,caution,128.5,554.0
16,0.6667,0,48,caex,caution,134.5,555.5
17,0.7083,0,48,caex,safe,143.5,557.0
18,0.75,0,48,caex,safe,147.0,556.5
19,0.7917,0,48,caex,safe,147.0,557.5
20,0.8333,0,48,caex,safe,156.2,558.0
21,0.875,0,48,caex,safe,160.2,560.5
22,0.9167,0,48,caex,safe,165.0,559.0
23,0.9583,0,48,caex,safe,171.0,561.0
24,1.0,0,48,caex,safe,191.2,559.0
25,1.0417,0,48,caex,safe,189.9,560.0
26,1.0833,0,48,caex,safe,203.2,558.0
27,1.125,0,48,caex,safe,211.4,558.0
28,1.1667,0,48,caex,safe,228.0,559.0
29,1.2083,0,48,caex,safe,228.8,558.5
30,1.25,0,48,caex,safe,247.9,556.5
31,1.2917,0,48,caex,safe,257.0,557.0
32,1.3333,0,48,caex,safe,257.2,556.5
33,1.375,0,48,caex,safe,271.2,557.0
34,1.4167,0,48,caex,safe,283.5,555.5
35,1.4583,0,48,caex,safe,295.5,556.5
36,1.5,0,48,caex,safe,296.9,556.0
37,1.5417,0,48,caex,safe,308.6,558.0
38,1.5833,0,48,caex,safe,317.6,557.0
39,1.625,0,48,caex,safe,328.0,556.0
40,1.6667,0,48,caex,safe,328.4,556.0
41,1.7083,0,48,caex,safe,342.5,556.5
42,1.75,0,48,caex,safe,351.9,557.0
43,1.7917,0,48,caex,safe,370.6,557.5
44,1.8333,0,48,caex,safe,370.5,556.5
45,1.875,0,48,caex,safe,379.4,554.0
46,1.9167,0,48,caex,safe,393.5,557.5
47,1.9583,0,48,caex,safe,390.5,554.5
48,2.0,0,48,caex,safe,401.5,557.5
49,2.0417,0,48,caex,safe,414.0,557.5
50,2.0833,0,48,caex,safe,428.8,555.0
51,2.125,0,48,caex,safe,437.0,554.0
52,2.1667,0,48,caex,safe,447.5,553.5
53,2.2083,0,48,caex,safe,454.8,555.5
54,2.25,0,48,caex,safe,459.5,554.0
55,2.2917,0,48,caex,safe,485.5,555.0
56,2.3333,0,48,caex,safe,480.0,552.0
57,2.375,0,48,caex,safe,494.5,553.5
58,2.4167,0,48,caex,safe,514.1,554.0
59,2.4583,0,48,caex,safe,518.1,555.5
60,2.5,0,48,caex,safe,519.0,549.0
61,2.5417,0,48,caex,safe,527.9,548.5
62,2.5833,0,48,caex,safe,539.5,544.0
63,2.625,0,48,caex,safe,551.5,543.0
64,2.6667,0,48,caex,safe,551.0,543.0
65,2.7083,0,48,caex,safe,565.0,537.5
66,2.75,0,48,caex,safe,609.5,492.5
67,2.7917,0,48,caex,safe,610.0,484.0
68,2.8333,0,48,caex,safe,565.5,457.0
69,2.875,0,48,caex,safe,565.0,456.5
70,2.9167,0,48,caex,safe,563.0,457.0
71,2.9583,0,48,caex,safe,556.5,457.5
72,3.0,0,48,caex,safe,557.0,449.2
73,3.0417,0,48,caex,safe,545.0,457.0
74,3.0833,0,48,caex,safe,542.0,457.5
75,3.125,0,48,caex,safe,538.5,457.0
76,3.1667,0,48,caex,safe,536.1,456.5
77,3.2083,0,48,caex,safe,531.1,457.0
78,3.25,0,48,caex,safe,528.5,457.5
79,3.2917,0,48,caex,safe,523.9,449.5
80,3.3333,0,48,caex,safe,520.0,456.5
81,3.375,0,48,caex,safe,509.5,457.0
82,3.4167,0,48,caex,safe,504.8,456.5
83,3.4583,0,48,caex,safe,503.0,456.5
84,3.5,0,48,caex,safe,500.5,456.5
85,3.5417,0,48,caex,safe,498.5,457.0
86,3.5833,0,48,caex,safe,496.2,457.0
87,3.625,0,48,caex,safe,495.5,456.2
88,3.6667,0,48,caex,safe,489.0,456.2
89,3.7083,0,48,caex,safe,480.2,456.5
90,3.75,0,48,caex,safe,479.5,456.2
91,3.7917,0,48,caex,safe,477.0,454.5
92,3.8333,0,48,caex,safe,476.0,454.5
93,3.875,0,48,caex,safe,475.8,453.0
94,3.9167,0,48,caex,safe,475.0,453.5
95,3.9583,0,48,caex,safe,473.2,453.0
95,3.9583,0,49,caex,safe,211.4,617.0
96,4.0,0,48,caex,safe,471.0,452.8
96,4.0,0,49,caex,safe,198.8,635.5
97,4.0417,0,48,caex,caution,461.2,453.2
97,4.0417,0,49,caex,caution,192.5,627.0
98,4.0833,0,48,caex,caution,453.0,456.5
98,4.0833,0,49,caex,caution,310.0,677.5
99,4.125,0,48,caex,caution,439.0,458.3
99,4.125,0,49,caex,caution,328.5,682.0
100,4.1667,0,48,caex,caution,425.0,460.2
100,4.1667,0,49,caex,caution,365.0,641.0
101,4.2083,0,48,caex,caution,410.9,462.0
101,4.2083,0,49,caex,caution,606.5,651.0
102,4.25,0,48,caex,caution,396.9,463.8
102,4.25,0,49,caex,caution,669.5,644.0
103,4.2917,0,48,caex,caution,382.9,465.7
103,4.2917,0,49,caex,caution,773.9,651.0
104,4.3333,0,48,caex,caution,368.9,467.5
104,4.3333,0,49,caex,caution,834.0,634.0
105,4.375,0,48,caex,caution,483.5,437.8
105,4.375,0,49,caex,caution,851.5,619.0
106,4.4167,0,48,caex,caution,483.5,438.0
106,4.4167,0,49,caex,caution,846.5,637.0
107,4.4583,0,48,caex,caution,484.0,438.0
107,4.4583,0,49,caex,caution,1039.8,646.0
108,4.5,0,48,caex,caution,472.5,448.5
108,4.5,0,49,caex,caution,1037.0,666.0
109,4.5417,0,48,caex,caution,472.2,448.5
109,4.5417,0,49,caex,caution,1062.5,633.5
110,4.5833,0,48,caex,caution,471.0,450.5
110,4.5833,0,49,caex,caution,1083.8,624.0
111,4.625,0,48,caex,caution,469.5,450.8
111,4.625,0,49,caex,caution,1147.0,627.0
112,4.6667,0,48,caex,caution,469.5,450.5
112,4.6667,0,49,caex,caution,1176.5,621.0
113,4.7083,0,48,caex,caution,470.0,451.5
113,4.7083,0,49,caex,caution,1217.0,574.0
114,4.75,0,48,caex,caution,470.0,451.0
114,4.75,0,49,caex,caution,1295.6,550.5
115,4.7917,0,48,caex,caution,469.0,448.5
115,4.7917,0,49,caex,caution,1374.2,526.9
116,4.8333,0,48,caex,safe,468.0,450.5
116,4.8333,0,49,caex,safe,1452.8,503.4
117,4.875,0,48,caex,safe,467.5,451.5
117,4.875,0,49,caex,safe,1531.4,479.9
117,4.875,0,50,caex,safe,194.5,634.0
118,4.9167,0,48,caex,safe,466.5,452.0
118,4.9167,0,49,caex,safe,1610.0,456.3
118,4.9167,0,50,caex,safe,187.2,611.5
119,4.9583,0,48,caex,caution,467.5,448.0
119,4.9583,0,49,caex,safe,1688.6,432.8
119,4.9583,0,50,caex,caution,195.1,637.0
120,5.0,0,48,caex,caution,459.5,450.0
120,5.0,0,49,caex,safe,1767.2,409.3
120,5.0,0,50,caex,caution,193.2,640.0
121,5.0417,0,48,caex,caution,454.2,453.2
121,5.0417,0,49,caex,safe,1845.7,385.7
121,5.0417,0,50,caex,caution,192.6,613.5
122,5.0833,0,48,caex,caution,445.0,454.4
122,5.0833,0,50,caex,caution,282.5,669.0
123,5.125,0,48,caex,caution,435.8,455.5
123,5.125,0,50,caex,caution,312.1,664.0
124,5.1667,0,48,caex,caution,426.6,456.6
124,5.1667,0,50,caex,caution,367.2,658.0
125,5.2083,0,48,caex,caution,417.4,457.7
125,5.2083,0,50,caex,caution,473.0,666.0
