frame,timestamp_s,shot,lighting,detections,min_distance_m,coverage,berm_confidence,crest_y_median,height_m_median,height_ratio_median
0,0.0,0,night,2,24.8,0.9688,0.5963,472.5742,0.7688,5.8541
1,0.0417,0,night,2,24.34,0.9672,0.705,473.332,0.7871,5.978
2,0.0833,0,night,3,18.63,0.9273,0.7387,486.6845,0.6751,5.1038
3,0.125,0,night,3,18.28,0.9266,0.6824,494.7812,0.6741,5.0934
4,0.1667,0,night,3,17.78,0.9211,0.5438,499.7524,1.0329,7.772
5,0.2083,0,night,3,17.49,0.9164,0.6395,503.7168,0.8437,6.3199
6,0.25,0,night,3,17.18,0.9609,0.4593,504.9294,0.7002,5.2212
7,0.2917,0,night,3,16.82,0.9102,0.4528,508.1961,0.6235,4.6292
8,0.3333,0,night,1,,0.9297,0.4879,512.2273,0.7738,4.0261
9,0.375,0,night,1,,0.8922,0.5373,513.6975,0.681,3.6864
10,0.4167,0,night,1,,0.9437,0.5913,515.6211,0.5945,3.4248
11,0.4583,0,night,1,,0.9547,0.6892,516.5764,0.5347,3.2034
12,0.5,0,night,1,,0.9406,0.7534,516.8261,0.5266,3.2342
13,0.5417,0,night,1,,0.957,0.8015,517.3105,0.456,3.0433
14,0.5833,0,night,1,,0.943,0.7772,517.5056,0.4343,3.001
15,0.625,0,night,1,,0.9445,0.8007,517.7839,0.4353,3.0439
16,0.6667,0,night,1,,0.932,0.8015,517.7643,0.4303,3.1373
17,0.7083,0,night,1,,0.8852,0.7548,517.5867,0.395,3.0605
18,0.75,0,night,1,,0.8859,0.7646,517.8248,0.3937,3.1289
19,0.7917,0,night,1,,0.8734,0.7421,518.0417,0.4141,3.2825
20,0.8333,0,night,1,,0.8852,0.7753,518.1651,0.3759,3.1628
21,0.875,0,night,1,,0.8688,0.7117,517.8134,0.3718,3.1876
22,0.9167,0,night,1,,0.8711,0.7748,517.7185,0.361,3.199
23,0.9583,0,night,1,,0.8656,0.7653,516.999,0.3437,3.1398
24,1.0,0,night,1,,0.8719,0.712,516.7168,0.3207,2.9066
25,1.0417,0,night,1,,0.8641,0.7482,516.618,0.3105,2.9455
26,1.0833,0,night,1,,0.8812,0.7159,516.4245,0.3146,2.9814
27,1.125,0,night,1,,0.8961,0.7437,516.7253,0.3197,2.993
28,1.1667,0,night,1,,0.9039,0.6873,516.1707,0.335,3.0266
29,1.2083,0,night,1,,0.9117,0.7165,516.2413,0.3231,3.0317
30,1.25,0,night,1,,0.9062,0.572,515.0511,0.3333,3.0115
31,1.2917,0,night,1,,0.9086,0.5808,514.935,0.3409,3.0277
32,1.3333,0,night,1,,0.9203,0.6587,515.3751,0.3289,3.0274
33,1.375,0,night,1,,0.9078,0.7084,514.8889,0.3375,3.0563
34,1.4167,0,night,1,,0.9,0.6995,514.7117,0.3407,3.0286
35,1.4583,0,night,1,,0.9008,0.6901,514.5261,0.3491,3.109
36,1.5,0,night,1,,0.9164,0.7072,514.5696,0.3565,3.1949
37,1.5417,0,night,1,,0.907,0.6981,514.8282,0.3547,3.1596
38,1.5833,0,night,1,,0.8922,0.7142,514.5388,0.3593,3.2
39,1.625,0,night,1,,0.8789,0.7097,514.1967,0.3533,3.1747
40,1.6667,0,night,1,,0.8617,0.6768,514.0996,0.3376,3.0807
41,1.7083,0,night,1,,0.8656,0.7211,514.4034,0.3588,3.1663
42,1.75,0,night,1,,0.8719,0.7105,514.5605,0.3515,3.1132
43,1.7917,0,night,1,,0.8945,0.6731,515.2172,0.3376,3.0571
44,1.8333,0,night,1,,0.8781,0.6481,514.21,0.3541,3.0642
45,1.875,0,night,1,,0.8633,0.6431,514.093,0.3515,3.0917
46,1.9167,0,night,1,,0.8992,0.6466,515.1778,0.3367,2.9971
47,1.9583,0,night,1,,0.8664,0.6816,513.9656,0.3462,3.1225
48,2.0,0,night,1,,0.8984,0.7099,515.2738,0.3401,3.0524
49,2.0417,0,night,1,,0.893,0.5441,517.001,0.3424,3.0202
50,2.0833,0,night,1,,0.8547,0.5594,515.501,0.3326,2.6993
51,2.125,0,night,1,,0.8727,0.5593,515.8153,0.326,2.339
52,2.1667,0,night,1,,0.8953,0.6453,516.4885,0.3218,1.989
53,2.2083,0,night,1,,0.8914,0.6016,515.6136,0.3111,1.9402
54,2.25,0,night,1,,0.8484,0.5683,514.4744,0.3196,1.9959
